white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
"Carlsen, Magnus","Wang, Hao",10th Norway Chess 2022,2022.05.31,0.06648648648648649,0.06648648648648649,0.17900000000000002,0.055999999999999994,0.011,,0.6756756756756757,0.6756756756756757,0.6,0.9,1.0,,0.8108108108108109,0.8108108108108109,0.8,0.9,1.0,,0.1934657049168637,0.1934657049168637
"So, Wesley","Carlsen, Magnus",10th Norway Chess 2022,2022.06.01,0.03333333333333333,0.03333333333333333,0.047,0.043000000000000003,0.0,,0.6666666666666666,0.6666666666666666,0.8,1.0,,,0.8148148148148148,0.8148148148148148,0.8,1.0,,,0.08194745032876019,0.08194745032876019
"Carlsen, Magnus","Radjabov, Teimour",10th Norway Chess 2022,2022.06.02,0.10038461538461538,0.10038461538461538,0.09600000000000002,0.17200000000000004,-0.011666666666666678,,0.38461538461538464,0.38461538461538464,0.1,0.8333333333333334,,,0.6153846153846154,0.6153846153846154,0.5,0.8333333333333334,,,0.15721274170322885,0.15721274170322885
"Carlsen, Magnus","Giri, A",10th Norway Chess 2022,2022.06.03,0.2141666666666667,0.2141666666666667,0.14799999999999996,0.366,-0.0,,0.5,0.5,0.5,1.0,,,0.5833333333333334,0.5833333333333334,0.5,1.0,,,0.6695353136555863,0.6695353136555863
Anand V,"Carlsen, Magnus",10th Norway Chess 2022,2022.06.05,0.19466666666666663,0.19466666666666663,0.176,0.40800000000000003,5.689893001203927e-17,,0.36666666666666664,0.36666666666666664,0.0,0.7,,,0.5333333333333333,0.5333333333333333,0.2,1.0,,,0.3177369692201324,0.3177369692201324
"Carlsen, Magnus","Mamedyarov, Shakhriyar",10th Norway Chess 2022,2022.06.06,0.05391304347826087,0.062,0.04399999999999999,0.15699999999999997,-1.1102230246251566e-17,-0.0,0.5652173913043478,0.5,0.1,0.7,0.7,1.0,0.6956521739130435,0.65,0.4,0.8,0.8,1.0,0.1238902428382938,0.1311331286742501
"Tari, Aryan","Carlsen, Magnus",10th Norway Chess 2022,2022.06.07,0.10636363636363635,0.10636363636363635,0.19499999999999998,0.039,0.0,,0.5454545454545454,0.5454545454545454,0.7,1.0,,,0.5909090909090909,0.5909090909090909,0.8,1.0,,,0.16237949244624325,0.16237949244624325
"Carlsen, Magnus","Vachier-Lagrave, Maxime",10th Norway Chess 2022,2022.06.09,0.15942028985507245,0.16375000000000003,0.147,0.05799999999999998,0.07700000000000001,0.15344827586206897,0.5652173913043478,0.5,0.5,0.7,0.5,0.6551724137931034,0.6811594202898551,0.575,0.6,0.8,0.5,0.8275862068965517,0.49722430746616647,0.3156408824386769
"Topalov, Veselin","Carlsen, Magnus",10th Norway Chess 2022,2022.06.10,0.08125,0.08125,0.096,0.087,0.029999999999999992,,0.5,0.5,0.5,0.75,,,0.5833333333333334,0.5833333333333334,0.5,0.75,,,0.15682481225600253,0.15682481225600253
"Carlsen, Magnus","Meier, Georg",44th Olympiad 2022,2022.07.30,0.063,0.08224999999999998,0.192,0.036,0.06799999999999999,0.037333333333333336,0.6428571428571429,0.5,0.7,0.6,0.5,0.8333333333333334,0.8142857142857143,0.775,0.9,0.8,1.0,0.8666666666666667,0.16567254239718732,0.16572277592877346
"Vocaturo, Daniele","Carlsen, Magnus",44th Olympiad 2022,2022.07.31,0.03888888888888888,0.046,0.07200000000000002,0.037,0.024999999999999998,-0.018,0.7111111111111111,0.675,0.7,0.7,0.8,1.0,0.8444444444444444,0.825,0.8,1.0,0.8,1.0,0.11863278372244906,0.12347116345579728
"Carlsen, Magnus","Batsuren, Dambasuren",44th Olympiad 2022,2022.08.01,0.1085,0.1085,0.16,0.05700000000000003,,,0.55,0.55,0.9,,,,0.6,0.6,0.9,,,,0.2298804036885267,0.2298804036885267
"Bwalya, Gillan","Carlsen, Magnus",44th Olympiad 2022,2022.08.02,0.11066666666666669,0.11066666666666669,0.15599999999999997,0.020000000000000108,,,0.6666666666666666,0.6666666666666666,0.8,,,,0.6666666666666666,0.6666666666666666,0.8,,,,0.2769338927476754,0.2769338927476754
"Smirnov, Ant","Carlsen, Magnus",44th Olympiad 2022,2022.08.03,0.24366666666666661,0.24366666666666661,0.175,0.43900000000000006,0.11700000000000003,,0.4666666666666667,0.4666666666666667,0.3,0.8,,,0.5666666666666667,0.5666666666666667,0.4,0.9,,,0.573191207992185,0.573191207992185
"Carlsen, Magnus","Stanojoski, Zvonko",44th Olympiad 2022,2022.08.05,0.04067796610169492,0.06000000000000001,0.04999999999999999,0.13099999999999995,0.13099999999999998,0.0,0.711864406779661,0.575,0.2,0.5,1.0,1.0,0.7627118644067796,0.65,0.3,0.6,1.0,1.0,0.19911757405924826,0.24036297338475193
"Carlsen, Magnus","Pechac, Jergus",44th Olympiad 2022,2022.08.06,0.15937499999999996,0.15937499999999996,0.186,0.23500000000000004,0.089,,0.46875,0.46875,0.3,0.7,1.0,,0.71875,0.71875,0.8,0.7,1.0,,0.2939161335285749,0.2939161335285749
"Megaranto, Susanto","Carlsen, Magnus",44th Olympiad 2022,2022.08.07,0.11999999999999998,0.11999999999999998,0.13,0.015999999999999993,0.29799999999999993,,0.6486486486486487,0.6486486486486487,0.7,0.6,1.0,,0.7567567567567568,0.7567567567567568,1.0,0.6,1.0,,0.31389134708968613,0.31389134708968613
"Carlsen, Magnus","Schitco, Ivan",44th Olympiad 2022,2022.08.08,0.11371428571428573,0.11371428571428573,0.23900000000000002,0.12599999999999997,0.033,,0.6285714285714286,0.6285714285714286,0.4,0.8,1.0,,0.6571428571428571,0.6571428571428571,0.5,0.8,1.0,,0.25117471906184813,0.25117471906184813
"Esipenko, Andrey","Carlsen, Magnus",84th Tata Steel Masters,2022.01.15,0.19636363636363638,0.19636363636363638,0.21600000000000003,0.0,,,0.5454545454545454,0.5454545454545454,1.0,,,,0.7272727272727273,0.7272727272727273,1.0,,,,0.42417620695349534,0.42417620695349534
"Carlsen, Magnus","Giri, A",84th Tata Steel Masters,2022.01.16,0.0376923076923077,0.0376923076923077,0.191,-0.09299999999999997,-0.0,,0.8076923076923077,0.8076923076923077,0.9,1.0,,,0.8076923076923077,0.8076923076923077,0.9,1.0,,,0.2953818910130774,0.2953818910130774
"Duda, J","Carlsen, Magnus",84th Tata Steel Masters,2022.01.17,0.1051851851851852,0.1051851851851852,0.094,0.136,0.07714285714285715,,0.4074074074074074,0.4074074074074074,0.4,0.5714285714285714,,,0.5185185185185185,0.5185185185185185,0.5,0.5714285714285714,,,0.12885204306819897,0.12885204306819897
"Carlsen, Magnus","Van Foreest, Jorden",84th Tata Steel Masters,2022.01.18,0.25595238095238093,0.26875,0.13999999999999999,0.279,0.6559999999999999,-0.0,0.6666666666666666,0.65,0.5,0.7,1.0,1.0,0.6904761904761905,0.675,0.5,0.7,1.0,1.0,0.8470956392682961,0.8665113889496704
"Grandelius, Nils","Carlsen, Magnus",84th Tata Steel Masters,2022.01.20,0.1244186046511628,0.134,0.096,0.25000000000000006,0.047,-0.0033333333333333335,0.6046511627906976,0.575,0.2,0.8,0.6,1.0,0.6511627906976745,0.625,0.3,0.8,0.7,1.0,0.27760285374529287,0.2857271425678702
"Carlsen, Magnus","Rapport, Richard",84th Tata Steel Masters,2022.01.21,0.01285714285714289,0.01285714285714289,0.10600000000000001,-0.07899999999999993,-0.0,,0.7142857142857143,0.7142857142857143,1.0,1.0,,,0.8095238095238095,0.8095238095238095,1.0,1.0,,,0.1352088331856634,0.1352088331856634
Praggnanandhaa R,"Carlsen, Magnus",84th Tata Steel Masters,2022.01.22,0.26500000000000007,0.26500000000000007,0.203,0.433,0.0,,0.5,0.5,0.4,1.0,,,0.5416666666666666,0.5416666666666666,0.5,1.0,,,0.6809200936329047,0.6809200936329047
"Shankland, Sam","Carlsen, Magnus",84th Tata Steel Masters,2022.01.23,0.05708333333333334,0.05708333333333334,0.05200000000000001,0.039,0.115,,0.7083333333333334,0.7083333333333334,0.8,0.75,,,0.7083333333333334,0.7083333333333334,0.8,0.75,,,0.11914474816160701,0.11914474816160701
"Carlsen, Magnus","Mamedyarov, Shakhriyar",84th Tata Steel Masters,2022.01.25,0.12352941176470586,0.12352941176470586,0.163,0.0671428571428571,,,0.4117647058823529,0.4117647058823529,0.7142857142857143,,,,0.4117647058823529,0.4117647058823529,0.7142857142857143,,,,0.22324149414005084,0.22324149414005084
"Karjakin, Sergey","Carlsen, Magnus",84th Tata Steel Masters,2022.01.26,0.04666666666666666,0.04666666666666666,0.04666666666666666,,,,0.5,0.5,,,,,0.6666666666666666,0.6666666666666666,,,,,0.08140434058861153,0.08140434058861153
"Carlsen, Magnus","Vidit, Santosh Gujrathi",84th Tata Steel Masters,2022.01.28,0.13609756097560977,0.1395,0.08299999999999999,0.015000000000000003,0.4600000000000001,-0.0,0.7560975609756098,0.75,0.8,0.7,1.0,1.0,0.8048780487804879,0.8,0.9,0.7,1.0,1.0,0.7834407381824756,0.7931144386660182
"Caruana, Fabiano","Carlsen, Magnus",84th Tata Steel Masters,2022.01.29,0.09641025641025643,0.09641025641025643,0.10200000000000001,0.08200000000000002,0.077,,0.5128205128205128,0.5128205128205128,0.5,0.4,0.7777777777777778,,0.5384615384615384,0.5384615384615384,0.6,0.4,0.7777777777777778,,0.2843504803609649,0.2843504803609649
"Carlsen, Magnus","Dubov, Daniil",84th Tata Steel Masters,2022.01.30,,,,,,,,,,,,,,,,,,,,
"Carlsen, Magnus","Nepomniachtchi, Ian",9th Sinquefield Cup 2022,2022.09.02,0.10333333333333335,0.10333333333333335,0.12500000000000003,0.06600000000000003,0.15,,0.45454545454545453,0.45454545454545453,0.3,0.6,1.0,,0.5757575757575758,0.5757575757575758,0.5,0.6,1.0,,0.2719681353884433,0.2719681353884433
"Aronian, Levon","Carlsen, Magnus",9th Sinquefield Cup 2022,2022.09.03,0.023461538461538464,0.023461538461538464,0.061,0.0,0.0,,0.8461538461538461,0.8461538461538461,1.0,1.0,,,0.9230769230769231,0.9230769230769231,1.0,1.0,,,0.048327409009158155,0.048327409009158155
"Carlsen, Magnus","Niemann, Hans Moke",9th Sinquefield Cup 2022,2022.09.04,0.17765957446808509,0.20875,0.05500000000000001,0.3,0.09500000000000001,-0.0,0.5531914893617021,0.475,0.3,0.3,0.7,1.0,0.5957446808510638,0.525,0.3,0.3,0.7,1.0,0.5962645049405413,0.642408079825932
"Carlsen, Magnus","Mamedyarov, Shakhriyar",9th Sinquefield Cup 2022,2022.09.05,,,,,,,,,,,,,,,,,,,,
"Carlsen, Magnus","Ostmoe, Geir Sune Tallaksen",TCh-NOR Elite 2021-22,2022.02.05,0.14783783783783785,0.271,0.136,0.818,0.11900000000000002,0.0029411764705882357,0.7162162162162162,0.5,0.3,0.6,0.9,0.9705882352941176,0.7837837837837838,0.6,0.3,0.8,1.0,1.0,0.4916683097046869,0.6468852392971359
?,?,?,????.??.??,,,,,,,,,,,,,,,,,,,,
