white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
"Caruana, Fabiano","Karjakin, Sergey",84th Tata Steel Masters,2022.01.15,0.20799999999999996,0.20799999999999996,0.14900000000000002,0.674,0.009,,0.625,0.625,0.4,0.9,1.0,,0.725,0.725,0.5,1.0,1.0,,0.5885584300993622,0.5885584300993622
"Vidit, Santosh Gujrathi","Caruana, Fabiano",84th Tata Steel Masters,2022.01.16,0.030625,0.030625,0.019,0.049999999999999996,,,0.6875,0.6875,0.5,,,,0.875,0.875,1.0,,,,0.06049449010722658,0.06049449010722658
"Caruana, Fabiano","Shankland, Sam",84th Tata Steel Masters,2022.01.17,0.05199999999999998,0.05774999999999998,0.060999999999999985,0.145,-0.007000000000000008,0.0405,0.7,0.625,0.4,1.0,0.7,0.85,0.8333333333333334,0.825,0.7,1.0,0.9,0.85,0.12882520018765672,0.14197304727956697
"Caruana, Fabiano","Dubov, Daniil",84th Tata Steel Masters,2022.01.18,0.04928571428571429,0.04928571428571429,0.118,0.02,-0.0,,0.75,0.75,0.8,1.0,,,0.8571428571428571,0.8571428571428571,1.0,1.0,,,0.12104264848111489,0.12104264848111489
"Esipenko, Andrey","Caruana, Fabiano",84th Tata Steel Masters,2022.01.20,0.14403846153846153,0.17975000000000002,0.11599999999999999,0.24999999999999994,0.33199999999999996,0.025000000000000005,0.5,0.425,0.3,0.3,0.7,0.75,0.6346153846153846,0.55,0.3,0.4,1.0,0.9166666666666666,0.31031457546593955,0.3457469617197836
"Caruana, Fabiano","Giri, A",84th Tata Steel Masters,2022.01.21,0.3980487804878049,0.40800000000000003,0.32,0.09199999999999997,1.22,-0.0,0.5121951219512195,0.5,0.6,0.1,1.0,1.0,0.6097560975609756,0.6,0.6,0.2,1.0,1.0,0.9259514552939452,0.9355245340696059
"Duda, J","Caruana, Fabiano",84th Tata Steel Masters,2022.01.22,0.17232558139534881,0.18524999999999997,0.11800000000000002,0.193,0.5050000000000001,0.0,0.3488372093023256,0.3,0.3,0.1,0.5,1.0,0.4186046511627907,0.375,0.3,0.2,0.6,1.0,0.4382803908420701,0.4521174541064438
"Caruana, Fabiano","Van Foreest, Jorden",84th Tata Steel Masters,2022.01.23,0.058235294117647045,0.058235294117647045,0.06499999999999999,0.048571428571428564,,,0.6470588235294118,0.6470588235294118,0.7142857142857143,,,,0.7058823529411765,0.7058823529411765,0.7142857142857143,,,,0.158675584689235,0.158675584689235
"Grandelius, Nils","Caruana, Fabiano",84th Tata Steel Masters,2022.01.25,0.22588235294117645,0.22588235294117645,0.152,0.15900000000000003,0.45699999999999996,,0.6764705882352942,0.6764705882352942,0.3,0.9,1.0,,0.7058823529411765,0.7058823529411765,0.4,0.9,1.0,,0.8740470746876586,0.8740470746876586
"Caruana, Fabiano","Rapport, Richard",84th Tata Steel Masters,2022.01.26,0.248125,0.248125,0.038,0.21499999999999994,0.541,,0.53125,0.53125,0.5,0.3,1.0,,0.53125,0.53125,0.5,0.3,1.0,,0.5086759377810389,0.5086759377810389
Praggnanandhaa R,"Caruana, Fabiano",84th Tata Steel Masters,2022.01.28,0.05638888888888887,0.05638888888888887,0.09,0.06299999999999996,0.05,,0.6111111111111112,0.6111111111111112,0.4,0.8,1.0,,0.7222222222222222,0.7222222222222222,0.7,0.8,1.0,,0.1215178476668646,0.1215178476668646
"Caruana, Fabiano","Carlsen, Magnus",84th Tata Steel Masters,2022.01.29,0.24512820512820518,0.24512820512820518,0.11399999999999999,0.379,0.39700000000000013,,0.4358974358974359,0.4358974358974359,0.3,0.2,0.8888888888888888,,0.5384615384615384,0.5384615384615384,0.4,0.4,0.8888888888888888,,0.3525237714632784,0.3525237714632784
"Mamedyarov, Shakhriyar","Caruana, Fabiano",84th Tata Steel Masters,2022.01.30,0.35000000000000003,0.35000000000000003,0.35000000000000003,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.028284271247461926,0.028284271247461926
"Caruana, Fabiano","Xiong, Jeffery",American Cup Champ,2022.04.20,0.19564102564102567,0.19564102564102567,0.053000000000000005,0.36,0.035,,0.48717948717948717,0.48717948717948717,0.5,0.7,0.3333333333333333,,0.5897435897435898,0.5897435897435898,0.5,0.7,0.4444444444444444,,0.37863880074617196,0.37863880074617196
"Caruana, Fabiano","Xiong, Jeffery",American Cup Champ,2022.04.21,0.43196078431372553,0.5507500000000001,0.325,0.4720000000000001,0.6380000000000001,-0.0,0.45098039215686275,0.3,0.1,0.4,0.4,1.0,0.5098039215686274,0.375,0.1,0.5,0.5,1.0,0.6387363136939784,0.6752450172591674
"Caruana, Fabiano","Xiong, Jeffery",American Cup Champ,2022.04.21,0.25697674418604655,0.2705000000000001,0.189,0.302,0.26299999999999996,0.07666666666666666,0.3953488372093023,0.4,0.4,0.3,0.4,0.3333333333333333,0.5116279069767442,0.525,0.4,0.4,0.8,0.3333333333333333,0.6402326023880507,0.6622028119107952
"Xiong, Jeffery","Caruana, Fabiano",American Cup Champ,2022.04.21,0.02258064516129032,0.02258064516129032,0.038,0.026000000000000002,0.006,,0.8387096774193549,0.8387096774193549,0.8,0.9,1.0,,0.967741935483871,0.967741935483871,1.0,1.0,1.0,,0.06449639483131253,0.06449639483131253
"Xiong, Jeffery","Caruana, Fabiano",American Cup Champ,2022.04.21,0.04791666666666667,0.04791666666666667,0.10400000000000002,0.011000000000000001,0.0,,0.7916666666666666,0.7916666666666666,1.0,1.0,,,0.7916666666666666,0.7916666666666666,1.0,1.0,,,0.09523331380336934,0.09523331380336934
