white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
Erigaisi Arjun,"Van Foreest, Lucas",Tata Steel Challengers,2022.01.15,0.15758620689655173,0.15758620689655173,0.21600000000000003,0.24700000000000003,-0.006666666666666666,,0.5862068965517241,0.5862068965517241,0.6,0.8888888888888888,,,0.6551724137931034,0.6551724137931034,0.6,1.0,,,0.27537837829344386,0.27537837829344386
"Warmerdam, Max",Erigaisi Arjun,Tata Steel Challengers,2022.01.16,0.008666666666666671,0.008666666666666671,0.013000000000000006,0.0,,,0.8666666666666667,0.8666666666666667,1.0,,,,0.8666666666666667,0.8666666666666667,1.0,,,,0.08584593065209212,0.08584593065209212
Erigaisi Arjun,"Dardha, Daniel",Tata Steel Challengers,2022.01.17,0.116875,0.116875,0.09200000000000004,0.24499999999999997,0.037,,0.5,0.5,0.1,0.9,1.0,,0.5625,0.5625,0.1,0.9,1.0,,0.15954446240428083,0.15954446240428083
"Vogel, Roven",Erigaisi Arjun,Tata Steel Challengers,2022.01.18,0.07099999999999998,0.07099999999999998,0.20600000000000004,-0.06400000000000006,,,0.65,0.65,0.9,,,,0.85,0.85,1.0,,,,0.29692990489516663,0.29692990489516663
Erigaisi Arjun,"Murzin, Volodar",Tata Steel Challengers,2022.01.20,0.14852459016393443,0.15550000000000003,0.21900000000000003,0.44700000000000006,-0.10699999999999994,0.13523809523809524,0.5573770491803278,0.4,0.2,0.6,0.7,0.8571428571428571,0.6229508196721312,0.475,0.3,0.7,0.7,0.9047619047619048,0.5640326115440899,0.41040911420878673
Erigaisi Arjun,"Ganguly, Surya Shekhar",Tata Steel Challengers,2022.01.21,0.100625,0.100625,0.215,0.10700000000000003,-0.0,,0.625,0.625,0.6,1.0,1.0,,0.625,0.625,0.6,1.0,1.0,,0.3084606682722575,0.3084606682722575
"Jumabayev, Rinat",Erigaisi Arjun,Tata Steel Challengers,2022.01.22,0.22945205479452055,0.25925000000000004,0.22000000000000003,0.031999999999999994,0.358,0.1933333333333333,0.3972602739726027,0.25,0.6,0.0,0.2,0.5757575757575758,0.4383561643835616,0.325,0.7,0.1,0.2,0.5757575757575758,0.28480446709081975,0.2717218364619532
Erigaisi Arjun,"Bjerre, Jonas Buhl",Tata Steel Challengers,2022.01.23,0.09100000000000001,0.09100000000000001,0.098,0.08400000000000003,,,0.55,0.55,0.5,,,,0.55,0.55,0.5,,,,0.3066611364871312,0.3066611364871312
"Zhu, Jiner",Erigaisi Arjun,Tata Steel Challengers,2022.01.25,0.13142857142857145,0.138,0.003999999999999998,0.11700000000000003,0.43100000000000016,0.0,0.6190476190476191,0.6,0.4,0.3,1.0,1.0,0.7380952380952381,0.725,0.5,0.4,1.0,1.0,0.536527095347301,0.5492661771248374
Erigaisi Arjun,"Shuvalova, Polina",Tata Steel Challengers,2022.01.26,0.1123809523809524,0.1123809523809524,0.10999999999999999,0.10999999999999999,0.15999999999999998,,0.5714285714285714,0.5714285714285714,0.6,0.0,,,0.6190476190476191,0.6190476190476191,0.6,0.0,,,0.19682237580886894,0.19682237580886894
"L'Ami, Erwin",Erigaisi Arjun,Tata Steel Challengers,2022.01.28,0.05769230769230768,0.05769230769230768,0.07399999999999998,0.0033333333333333335,,,0.5384615384615384,0.5384615384615384,1.0,,,,0.6153846153846154,0.6153846153846154,1.0,,,,0.10166561579952899,0.10166561579952899
Erigaisi Arjun,"Nguyen, Thai Dai Van",Tata Steel Challengers,2022.01.29,0.08399999999999999,0.08399999999999999,0.08399999999999999,,,,0.6,0.6,,,,,0.6,0.6,,,,,0.061886993787063214,0.061886993787063214
"Maurizzi, Marc'Andria",Erigaisi Arjun,Tata Steel Challengers,2022.01.30,0.06942307692307692,0.07950000000000002,0.182,0.08700000000000001,0.026999999999999996,0.03583333333333335,0.6153846153846154,0.55,0.5,0.7,0.7,0.8333333333333334,0.7692307692307693,0.725,0.6,1.0,0.8,0.9166666666666666,0.4152127423596221,0.14947686554558648
Erigaisi Arjun,"Ayush, Sharma",58th ch-IND 2022,2022.02.25,0.13,0.13,0.202,0.20099999999999998,-0.0,,0.7419354838709677,0.7419354838709677,0.9,1.0,1.0,,0.7419354838709677,0.7419354838709677,0.9,1.0,1.0,,0.43804870353268544,0.43804870353268544
"Srimanarayana, A.K.S.",Erigaisi Arjun,58th ch-IND 2022,2022.02.25,0.06452380952380954,0.06775,0.135,0.13600000000000004,0.0,0.0,0.6904761904761905,0.675,0.5,1.0,1.0,1.0,0.7142857142857143,0.7,0.5,1.0,1.0,1.0,0.14840949251331736,0.1514288781184261
Erigaisi Arjun,"Ravi, Teja S.",58th ch-IND 2022,2022.02.26,0.1772727272727273,0.1772727272727273,0.209,0.37600000000000006,-0.0,,0.7272727272727273,0.7272727272727273,0.6,1.0,1.0,,0.7575757575757576,0.7575757575757576,0.7,1.0,1.0,,0.5194965876167564,0.5194965876167564
"Das, Sayantan",Erigaisi Arjun,58th ch-IND 2022,2022.02.26,0.26607843137254905,0.3,0.13299999999999998,0.22899999999999995,0.74,0.1427272727272727,0.5686274509803921,0.475,0.4,0.5,0.6,0.9090909090909091,0.6666666666666666,0.6,0.6,0.5,0.7,0.9090909090909091,0.7631043924165881,0.8268289749677099
Gukesh D,Erigaisi Arjun,58th ch-IND 2022,2022.02.27,-0.013055555555555553,-0.013055555555555553,-0.060999999999999964,0.01399999999999999,0.0,,0.8611111111111112,0.8611111111111112,0.7,1.0,1.0,,0.9444444444444444,0.9444444444444444,0.9,1.0,1.0,,0.17079343320337823,0.17079343320337823
"Aryan, C",Erigaisi Arjun,58th ch-IND 2022,2022.02.28,0.05837209302325582,0.060750000000000005,0.11499999999999999,0.12000000000000002,0.008000000000000002,0.02666666666666667,0.7441860465116279,0.75,0.7,0.9,1.0,0.6666666666666666,0.8372093023255814,0.825,0.7,1.0,1.0,1.0,0.1484993223097915,0.15347909738245574
Erigaisi Arjun,"Gupta, Abhijeet",58th ch-IND 2022,2022.02.28,0.13361111111111107,0.13361111111111107,0.083,0.345,0.08099999999999999,,0.6111111111111112,0.6111111111111112,0.5,0.7,1.0,,0.6388888888888888,0.6388888888888888,0.5,0.8,1.0,,0.5574798024670761,0.5574798024670761
"Pranav, V",Erigaisi Arjun,58th ch-IND 2022,2022.03.01,0.34551020408163263,0.42325,0.074,0.505,0.559,0.0,0.5714285714285714,0.475,0.3,0.2,0.9,1.0,0.6326530612244898,0.55,0.3,0.3,0.9,1.0,0.904590287608359,0.9865957723144358
Erigaisi Arjun,Visakh N R,58th ch-IND 2022,2022.03.01,0.10590909090909091,0.10590909090909091,0.22699999999999995,0.006,-0.0,,0.6363636363636364,0.6363636363636364,0.9,1.0,,,0.6818181818181818,0.6818181818181818,1.0,1.0,,,0.2624365518043242,0.2624365518043242
Erigaisi Arjun,"Iniyan, P",58th ch-IND 2022,2022.03.02,0.324516129032258,0.324516129032258,0.30100000000000005,0.4830000000000001,0.22199999999999998,,0.2903225806451613,0.2903225806451613,0.2,0.5,1.0,,0.3870967741935484,0.3870967741935484,0.2,0.5,1.0,,0.37524959435623134,0.37524959435623134
"Sethuraman, S",Erigaisi Arjun,58th ch-IND 2022,2022.03.03,0.04750000000000001,0.04750000000000001,0.07300000000000002,0.04699999999999999,0.032,,0.71875,0.71875,0.6,0.9,1.0,,0.8125,0.8125,0.8,0.9,1.0,,0.12536398618526004,0.12536398618526004
Harsha Bharathakoti,Erigaisi Arjun,TCh-BAN Premier 2022,2022.03.10,0.23185185185185184,0.313,0.34299999999999997,0.5569999999999998,0.352,0.0,0.5555555555555556,0.4,0.2,0.1,1.0,1.0,0.5925925925925926,0.45,0.3,0.2,1.0,1.0,0.5157155647018531,0.579124892424459
Erigaisi Arjun,Md Anisur Rahaman,TCh-BAN Premier 2022,2022.03.11,0.2028571428571428,0.2028571428571428,0.18499999999999991,0.24099999999999996,-0.0,,0.6666666666666666,0.6666666666666666,0.8,1.0,,,0.7142857142857143,0.7142857142857143,0.8,1.0,,,0.49359034489283576,0.49359034489283576
Srijit Paul,Erigaisi Arjun,TCh-BAN Premier 2022,2022.03.12,0.019999999999999962,0.019999999999999962,0.023999999999999955,0.0,,,0.75,0.75,1.0,,,,0.75,0.75,1.0,,,,0.12365641548625411,0.12365641548625411
Erigaisi Arjun,"Ahmed, SN",TCh-BAN Premier 2022,2022.03.13,0.07771428571428571,0.07771428571428571,0.11000000000000001,0.046000000000000006,-0.015000000000000036,,0.5714285714285714,0.5714285714285714,0.7,0.6,0.4,,0.6857142857142857,0.6857142857142857,0.8,0.8,0.4,,0.24151587104450625,0.24151587104450625
"Sankalp, Gupta",Erigaisi Arjun,TCh-BAN Premier 2022,2022.03.14,0.4153571428571428,0.33875,0.121,0.181,0.521,0.606875,0.5357142857142857,0.5,0.5,0.7,0.3,0.625,0.625,0.625,0.7,0.8,0.4,0.625,1.1071748885186268,0.8902612336289636
Erigaisi Arjun,"Alam, Md. Monjur",TCh-BAN Premier 2022,2022.03.15,0.20833333333333326,0.20833333333333326,0.24999999999999992,-0.0,,,0.5833333333333334,0.5833333333333334,1.0,,,,0.75,0.75,1.0,,,,0.483487958547683,0.483487958547683
Mohammad Nubairshah Shaikh,Erigaisi Arjun,TCh-BAN Premier 2022,2022.03.16,0.09027777777777778,0.09027777777777778,0.026000000000000002,0.257,0.03899999999999999,,0.5555555555555556,0.5555555555555556,0.4,0.5,1.0,,0.8055555555555556,0.8055555555555556,0.5,0.9,1.0,,0.20723328622746617,0.20723328622746617
Erigaisi Arjun,S M Sharon,TCh-BAN Premier 2022,2022.03.17,,,,,,,,,,,,,,,,,,,,
"Mchedlishvili, Mikheil",Erigaisi Arjun,TCh-BAN Premier 2022,2022.03.18,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,0.0,0.0
"Shyam, SM",Erigaisi Arjun,TCh-BAN Premier 2022,2022.03.19,0.10129032258064515,0.10129032258064515,0.037,0.246,0.03099999999999996,,0.7419354838709677,0.7419354838709677,0.6,0.9,1.0,,0.8064516129032258,0.8064516129032258,0.7,0.9,1.0,,0.34568523192333867,0.34568523192333867
Erigaisi Arjun,"Zia, Tahsin Tajwar",TCh-BAN Premier 2022,2022.03.20,0.21038461538461536,0.21038461538461536,0.41,0.15699999999999995,-0.03333333333333336,,0.6923076923076923,0.6923076923076923,0.7,1.0,,,0.7692307692307693,0.7692307692307693,0.8,1.0,,,0.6186791140436584,0.6186791140436584
"Manigandan, S S",Erigaisi Arjun,19th Delhi Open 2022,2022.03.22,0.09172413793103446,0.09172413793103446,0.06,0.174,0.035555555555555535,,0.5517241379310345,0.5517241379310345,0.2,0.8888888888888888,,,0.6206896551724138,0.6206896551724138,0.3,0.8888888888888888,,,0.2720696991255475,0.2720696991255475
"Nigmatov, Ortik",Erigaisi Arjun,19th Delhi Open 2022,2022.03.23,0.049210526315789475,0.049210526315789475,0.13199999999999998,0.013000000000000001,0.041999999999999996,,0.8157894736842105,0.8157894736842105,0.9,0.7,1.0,,0.8157894736842105,0.8157894736842105,0.9,0.7,1.0,,0.19159898407093084,0.19159898407093084
Erigaisi Arjun,"Karthikeyan, P2",19th Delhi Open 2022,2022.03.23,0.4746153846153846,0.5329999999999999,0.10700000000000001,0.6380000000000001,0.653,0.27999999999999997,0.4807692307692308,0.4,0.1,0.4,0.4,0.75,0.4807692307692308,0.4,0.1,0.4,0.4,0.75,0.6721532899933383,0.6870195757297585
Erigaisi Arjun,"Jain, Kushagra",19th Delhi Open 2022,2022.03.24,0.12641025641025644,0.12641025641025644,0.36000000000000004,0.12999999999999998,0.0030000000000000248,,0.6666666666666666,0.6666666666666666,0.6,1.0,1.0,,0.717948717948718,0.717948717948718,0.6,1.0,1.0,,0.2792893913176154,0.2792893913176154
Erigaisi Arjun,Harsha Bharathakoti,19th Delhi Open 2022,2022.03.25,0.14720000000000003,0.14720000000000003,0.22199999999999998,0.133,0.026000000000000013,,0.36,0.36,0.4,0.8,,,0.48,0.48,0.5,0.8,,,0.1897919914011126,0.1897919914011126
"Iniyan, P",Erigaisi Arjun,19th Delhi Open 2022,2022.03.25,0.05000000000000001,0.05000000000000001,0.039,-0.019999999999999993,0.13099999999999998,,0.6666666666666666,0.6666666666666666,0.8,0.6,,,0.8,0.8,1.0,0.6,,,0.18467118962053086,0.18467118962053086
Shyaamnikhil P,Erigaisi Arjun,19th Delhi Open 2022,2022.03.26,0.10599999999999994,0.10599999999999994,0.10899999999999994,0.10299999999999998,,,0.55,0.55,0.7,,,,0.55,0.55,0.7,,,,0.3368179267638136,0.3368179267638136
Erigaisi Arjun,Lalith Babu M R,19th Delhi Open 2022,2022.03.27,0.02499999999999997,0.02499999999999997,0.08299999999999993,-0.04749999999999999,,,0.6111111111111112,0.6111111111111112,0.875,,,,0.7222222222222222,0.7222222222222222,0.875,,,,0.2848167625602366,0.2848167625602366
Gukesh D,Erigaisi Arjun,19th Delhi Open 2022,2022.03.28,0.059411764705882365,0.059411764705882365,0.163,0.014000000000000004,0.015000000000000003,,0.6470588235294118,0.6470588235294118,0.7,0.9,0.75,,0.8235294117647058,0.8235294117647058,0.9,1.0,1.0,,0.1498472186872569,0.1498472186872569
Erigaisi Arjun,"Karthik, V4",19th Delhi Open 2022,2022.03.29,0.21375000000000002,0.25650000000000006,0.466,0.13200000000000003,0.05600000000000001,-0.0,0.5833333333333334,0.5,0.2,0.9,0.7,1.0,0.625,0.55,0.4,0.9,0.7,1.0,0.4999473376522089,0.5384905303550391
Erigaisi Arjun,"Sieber, Fiona",Fagernes GM Open 2022,2022.04.10,0.03352941176470585,0.03352941176470585,0.05699999999999994,-0.0,,,0.8235294117647058,0.8235294117647058,1.0,,,,0.8235294117647058,0.8235294117647058,1.0,,,,0.13066852989868047,0.13066852989868047
"Kaasen, Tor Fredrik",Erigaisi Arjun,Fagernes GM Open 2022,2022.04.11,0.11632653061224488,0.1425,0.31100000000000005,0.33499999999999996,-0.07500000000000004,0.0,0.6938775510204082,0.625,0.3,0.8,1.0,1.0,0.7346938775510204,0.675,0.5,0.8,1.0,1.0,0.3416729300902584,0.3739720954899285
Erigaisi Arjun,"Aryan, C",Fagernes GM Open 2022,2022.04.12,0.06624999999999999,0.06624999999999999,0.11299999999999999,0.003,0.10750000000000001,,0.5416666666666666,0.5416666666666666,0.8,0.25,,,0.625,0.625,1.0,0.25,,,0.13422280309085044,0.13422280309085044
Erigaisi Arjun,"Can, E",Fagernes GM Open 2022,2022.04.12,0.33,0.33,0.16399999999999998,0.296,0.6157142857142858,,0.5185185185185185,0.5185185185185185,0.6,0.2857142857142857,,,0.5925925925925926,0.5925925925925926,0.8,0.2857142857142857,,,0.6947440037663015,0.6947440037663015
"Kulaots, Kaido",Erigaisi Arjun,Fagernes GM Open 2022,2022.04.13,0.10239130434782606,0.11774999999999998,0.138,0.16199999999999998,0.06,0.0,0.43478260869565216,0.35,0.2,0.6,0.5,1.0,0.6521739130434783,0.6,0.5,0.7,0.7,1.0,0.14864102592949222,0.15374783717469798
Erigaisi Arjun,"Urkedal, Frode Olav Olsen",Fagernes GM Open 2022,2022.04.14,0.133,0.133,0.429,0.08099999999999999,0.022,,0.725,0.725,0.7,0.9,1.0,,0.75,0.75,0.7,0.9,1.0,,0.324465635650293,0.324465635650293
"Hakobyan, Aram",Erigaisi Arjun,Fagernes GM Open 2022,2022.04.15,0.06846153846153846,0.06846153846153846,0.068,0.11200000000000003,0.05500000000000001,,0.6153846153846154,0.6153846153846154,0.4,0.7,0.8888888888888888,,0.7435897435897436,0.7435897435897436,0.7,0.7,0.8888888888888888,,0.1126834985710083,0.1126834985710083
Erigaisi Arjun,"Donchenko, Alexander",Fagernes GM Open 2022,2022.04.16,0.2037931034482759,0.2037931034482759,0.215,0.23299999999999996,0.1588888888888889,,0.2413793103448276,0.2413793103448276,0.2,0.2222222222222222,,,0.4482758620689655,0.4482758620689655,0.4,0.5555555555555556,,,0.23362689719635463,0.23362689719635463
Nihal Sarin,Erigaisi Arjun,Fagernes GM Open 2022,2022.04.17,0.06666666666666667,0.06666666666666667,0.056999999999999995,0.086,,,0.5333333333333333,0.5333333333333333,0.4,,,,0.6,0.6,0.6,,,,0.093554160529508,0.093554160529508
