white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
"Giri, A",Praggnanandhaa R,84th Tata Steel Masters,2022.01.15,0.043235294117647066,0.043235294117647066,0.04700000000000001,0.074,0.026000000000000002,,0.6176470588235294,0.6176470588235294,0.7,0.7,1.0,,0.7941176470588235,0.7941176470588235,0.7,0.9,1.0,,0.09910877367623838,0.09910877367623838
"Carlsen, Magnus","Giri, A",84th Tata Steel Masters,2022.01.16,0.294,0.294,0.47400000000000003,0.261,0.0,,0.72,0.72,0.9,1.0,,,0.72,0.72,0.9,1.0,,,0.6974417538404194,0.6974417538404194
"Giri, A","Mamedyarov, Shakhriyar",84th Tata Steel Masters,2022.01.17,0.08999999999999994,0.08999999999999994,0.11999999999999993,-0.21,,,0.45454545454545453,0.45454545454545453,1.0,,,,0.45454545454545453,0.45454545454545453,1.0,,,,0.2974558790812513,0.2974558790812513
"Karjakin, Sergey","Giri, A",84th Tata Steel Masters,2022.01.18,0.0,0.0,0.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,0.0,0.0
"Giri, A","Vidit, Santosh Gujrathi",84th Tata Steel Masters,2022.01.20,0.17521739130434782,0.17521739130434782,0.24499999999999997,0.12699999999999997,0.10333333333333335,,0.43478260869565216,0.43478260869565216,0.4,0.6666666666666666,,,0.4782608695652174,0.4782608695652174,0.5,0.6666666666666666,,,0.23494427898812306,0.23494427898812306
"Caruana, Fabiano","Giri, A",84th Tata Steel Masters,2022.01.21,0.26926829268292685,0.276,0.11200000000000002,0.559,0.433,0.0,0.5365853658536586,0.525,0.1,0.4,1.0,1.0,0.5609756097560976,0.55,0.1,0.4,1.0,1.0,0.5423024536358952,0.5474734509427645
"Giri, A","Dubov, Daniil",84th Tata Steel Masters,2022.01.22,,,,,,,,,,,,,,,,,,,,
"Esipenko, Andrey","Giri, A",84th Tata Steel Masters,2022.01.23,0.07589743589743589,0.07589743589743589,0.05199999999999999,0.04,0.11199999999999999,,0.6410256410256411,0.6410256410256411,0.5,0.7,0.7777777777777778,,0.7435897435897436,0.7435897435897436,0.8,0.7,0.7777777777777778,,0.19841102936127247,0.19841102936127247
"Giri, A","Shankland, Sam",84th Tata Steel Masters,2022.01.25,-0.0033333333333333444,-0.0033333333333333444,0.03799999999999999,-0.04600000000000003,-0.0,,0.75,0.75,0.9,1.0,,,0.8333333333333334,0.8333333333333334,0.9,1.0,,,0.11645736919825948,0.11645736919825948
"Giri, A","Duda, J",84th Tata Steel Masters,2022.01.26,0.03071428571428572,0.03071428571428572,0.054000000000000006,0.03200000000000001,-0.0,,0.6785714285714286,0.6785714285714286,0.7,1.0,,,0.8928571428571429,0.8928571428571429,0.9,1.0,,,0.12863754913562,0.12863754913562
