white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
"Garrido Outon, Alex",Gukesh D,14th Gijon Closed 2022,2022.07.03,0.3307142857142858,0.3307142857142858,0.12799999999999997,0.191,0.75875,,0.32142857142857145,0.32142857142857145,0.2,0.5,,,0.39285714285714285,0.39285714285714285,0.3,0.5,,,0.652958671322333,0.652958671322333
Gukesh D,"Fier, Alexandr",14th Gijon Closed 2022,2022.07.04,0.1105,0.1105,0.1,0.121,,,0.6,0.6,0.8,,,,0.65,0.65,0.8,,,,0.3371002505892993,0.3371002505892993
"Forgas Moreno, Yaniela",Gukesh D,14th Gijon Closed 2022,2022.07.04,0.17444444444444437,0.17444444444444437,0.341,-0.033750000000000085,,,0.5,0.5,0.875,,,,0.6111111111111112,0.6111111111111112,1.0,,,,0.29927799829161833,0.29927799829161833
Gukesh D,"Panelo, M",14th Gijon Closed 2022,2022.07.05,0.09279069767441862,0.09975000000000003,0.081,0.28400000000000014,-0.0,-0.0,0.6976744186046512,0.675,0.5,1.0,0.9,1.0,0.7674418604651163,0.75,0.5,1.0,0.9,1.0,0.3857974152656962,0.3994707235509993
"Alvarez Fernandez, Enrique",Gukesh D,14th Gijon Closed 2022,2022.07.05,0.2175609756097561,0.223,0.133,0.174,0.36,0.0,0.2682926829268293,0.25,0.2,0.1,0.6,1.0,0.4634146341463415,0.45,0.3,0.3,0.6,1.0,0.27662954006943,0.27792454242483033
"Gines Esteo, Pedro Antonio",Gukesh D,14th Gijon Closed 2022,2022.07.06,0.05206349206349207,0.082,0.11899999999999997,0.136,0.063,0.0,0.7142857142857143,0.55,0.4,0.6,0.9,1.0,0.7777777777777778,0.65,0.5,0.6,1.0,1.0,0.10736069338628078,0.1257225272023826
Gukesh D,"Delgado Ramirez, Neuris",14th Gijon Closed 2022,2022.07.07,0.1724,0.1724,0.16599999999999998,0.265,-0.0,,0.48,0.48,0.3,1.0,,,0.56,0.56,0.5,1.0,,,0.2566170947800113,0.2566170947800113
"Tejedor Fuente, Enrique",Gukesh D,14th Gijon Closed 2022,2022.07.07,0.09928571428571427,0.09928571428571427,0.03600000000000003,0.24199999999999994,0.0,,0.7142857142857143,0.7142857142857143,0.7,1.0,,,0.8214285714285714,0.8214285714285714,0.7,1.0,,,0.34858368006919366,0.34858368006919366
Gukesh D,"Martinez Duany, Lelys Stanley",14th Gijon Closed 2022,2022.07.08,0.599375,0.599375,0.593,0.603,0.7220000000000001,,0.46875,0.46875,0.2,0.7,1.0,,0.46875,0.46875,0.2,0.7,1.0,,1.107487529966933,1.107487529966933
Gukesh D,Sudarshan Bhat,19th Delhi Open 2022,2022.03.22,0.03470588235294114,0.03470588235294114,0.05899999999999994,-0.0,,,0.8235294117647058,0.8235294117647058,1.0,,,,0.8235294117647058,0.8235294117647058,1.0,,,,0.35637265690318504,0.35637265690318504
"Liyanage, Ranindu Dilshan",Gukesh D,19th Delhi Open 2022,2022.03.23,0.3449056603773584,0.45474999999999993,0.21299999999999994,0.32799999999999996,0.399,0.0069230769230768435,0.3584905660377358,0.175,0.0,0.1,0.4,0.9230769230769231,0.5283018867924528,0.4,0.5,0.3,0.4,0.9230769230769231,0.6120728420750308,0.6697071212142874
Gukesh D,Singh Ojasva,19th Delhi Open 2022,2022.03.25,0.07666666666666666,0.07666666666666666,0.11499999999999999,-0.0,,,0.6666666666666666,0.6666666666666666,1.0,,,,0.6666666666666666,0.6666666666666666,1.0,,,,0.22591612434285258,0.22591612434285258
Shahil Dey,Gukesh D,19th Delhi Open 2022,2022.03.25,0.08374999999999999,0.08374999999999999,0.14900000000000002,-0.02500000000000006,,,0.5,0.5,1.0,,,,0.6875,0.6875,1.0,,,,0.13642458234008514,0.13642458234008514
Gukesh D,"Tahbaz, Arash",19th Delhi Open 2022,2022.03.26,0.23676470588235296,0.23676470588235296,0.231,0.395,0.179,,0.6176470588235294,0.6176470588235294,0.4,0.8,1.0,,0.7058823529411765,0.7058823529411765,0.4,0.9,1.0,,0.6041910223131839,0.6041910223131839
"Karthik, V4",Gukesh D,19th Delhi Open 2022,2022.03.27,0.13947368421052628,0.13947368421052628,0.148,0.13,,,0.5263157894736842,0.5263157894736842,0.6666666666666666,,,,0.631578947368421,0.631578947368421,0.7777777777777778,,,,0.25248704442473713,0.25248704442473713
Gukesh D,Erigaisi Arjun,19th Delhi Open 2022,2022.03.28,0.049999999999999996,0.049999999999999996,0.11199999999999996,0.040999999999999995,-0.007999999999999998,,0.6176470588235294,0.6176470588235294,0.6,0.8,0.75,,0.7352941176470589,0.7352941176470589,0.8,1.0,0.75,,0.16276028106054957,0.16276028106054957
"Gupta, Abhijeet",Gukesh D,19th Delhi Open 2022,2022.03.29,0.06914893617021274,0.08124999999999998,0.22799999999999998,0.168,0.05299999999999998,0.0,0.7021276595744681,0.65,0.5,0.6,1.0,1.0,0.7659574468085106,0.725,0.5,0.8,1.0,1.0,0.2663426184058393,0.28751086935975145
"Al Hosani, Omran",Gukesh D,44th Olympiad 2022,2022.07.29,0.1963333333333333,0.1963333333333333,0.29000000000000004,0.24100000000000002,0.05799999999999996,,0.43333333333333335,0.43333333333333335,0.3,0.6,,,0.5333333333333333,0.5333333333333333,0.3,0.7,,,0.3711165197944816,0.3711165197944816
Gukesh D,"Kiik, Kalle",44th Olympiad 2022,2022.07.30,0.04103448275862068,0.04103448275862068,0.147,-0.015000000000000013,-0.014444444444444482,,0.6551724137931034,0.6551724137931034,0.8,0.6666666666666666,,,0.7241379310344828,0.7241379310344828,0.9,0.7777777777777778,,,0.22825963956465717,0.22825963956465717
"Georgiadis, N",Gukesh D,44th Olympiad 2022,2022.07.31,0.1866666666666667,0.1866666666666667,0.147,0.1650000000000001,0.27428571428571435,,0.48148148148148145,0.48148148148148145,0.4,0.7142857142857143,,,0.5185185185185185,0.5185185185185185,0.5,0.7142857142857143,,,0.5528179558477566,0.5528179558477566
Gukesh D,"Vocaturo, Daniele",44th Olympiad 2022,2022.08.01,0.04875000000000001,0.04875000000000001,0.05799999999999998,0.05900000000000002,-0.0,,0.75,0.75,0.8,1.0,,,0.8333333333333334,0.8333333333333334,0.8,1.0,,,0.13089366743243555,0.13089366743243555
"Shirov, Alexei",Gukesh D,44th Olympiad 2022,2022.08.02,0.042647058823529434,0.042647058823529434,0.10700000000000001,0.008000000000000018,0.030000000000000072,,0.5882352941176471,0.5882352941176471,0.5,0.5,1.0,,0.6764705882352942,0.6764705882352942,0.7,0.6,1.0,,0.21621129989713433,0.21621129989713433
Gukesh D,"Sargissian, Gabriel",44th Olympiad 2022,2022.08.03,0.13516129032258062,0.13516129032258062,0.162,0.25699999999999995,-0.0,,0.7096774193548387,0.7096774193548387,0.7,1.0,1.0,,0.7419354838709677,0.7419354838709677,0.7,1.0,1.0,,0.35311821408457467,0.35311821408457467
"Albornoz Cabrera, Carlos Daniel",Gukesh D,44th Olympiad 2022,2022.08.05,0.15428571428571428,0.15428571428571428,0.10599999999999996,0.07099999999999998,0.187,,0.5142857142857142,0.5142857142857142,0.5,0.4,0.8,,0.5142857142857142,0.5142857142857142,0.5,0.4,0.8,,0.5319458492690979,0.5319458492690979
"Caruana, Fabiano",Gukesh D,44th Olympiad 2022,2022.08.06,0.07142857142857144,0.07142857142857144,0.168,0.17800000000000002,-0.096,,0.5714285714285714,0.5714285714285714,0.3,0.9,1.0,,0.6,0.6,0.3,0.9,1.0,,0.19936875171316057,0.19936875171316057
Gukesh D,"Mamedyarov, Shakhriyar",44th Olympiad 2022,2022.08.07,0.023333333333333334,0.023333333333333334,0.0050000000000000044,0.051000000000000004,-0.0,,0.6666666666666666,0.6666666666666666,0.5,1.0,,,0.875,0.875,0.8,1.0,,,0.08565180607586723,0.08565180607586723
Gukesh D,"Abdusattorov, Nodirbek",44th Olympiad 2022,2022.08.08,0.3143548387096774,0.32525,0.15899999999999997,0.364,0.26699999999999996,0.29454545454545455,0.5806451612903226,0.475,0.5,0.7,0.4,0.7727272727272727,0.6290322580645161,0.55,0.6,0.7,0.4,0.7727272727272727,0.765576223502661,0.6679627945266076
"Keymer, Vincent",Gukesh D,44th Olympiad 2022,2022.08.09,0.01421875,0.02275,0.03899999999999999,0.02,0.037,0.0,0.875,0.8,0.9,0.6,1.0,1.0,0.953125,0.925,1.0,0.9,1.0,1.0,0.03894663371560857,0.047447001472358065
Gukesh D,Bhagat Kush,48th La Roda Open 2022,2022.04.13,-0.03235294117647055,-0.03235294117647055,-0.05499999999999994,-0.0,,,0.9411764705882353,0.9411764705882353,1.0,,,,0.9411764705882353,0.9411764705882353,1.0,,,,0.10951765906491429,0.10951765906491429
"Hernandez Ramos, Alberto",Gukesh D,48th La Roda Open 2022,2022.04.14,0.10300000000000002,0.10300000000000002,0.10500000000000001,0.2040000000000001,0.0,,0.6333333333333333,0.6333333333333333,0.5,1.0,,,0.6666666666666666,0.6666666666666666,0.6,1.0,,,0.25705426771739115,0.25705426771739115
Gukesh D,"Romero Pallares, Daniel",48th La Roda Open 2022,2022.04.14,0.19458333333333333,0.19458333333333333,0.13799999999999998,-0.04800000000000004,0.9425000000000001,,0.6666666666666666,0.6666666666666666,1.0,0.75,,,0.75,0.75,1.0,0.75,,,0.8483332977420911,0.8483332977420911
"Bernabeu Lopez, Carlos Javier",Gukesh D,48th La Roda Open 2022,2022.04.15,0.013999999999999995,0.013999999999999995,0.013999999999999995,,,,0.8,0.8,,,,,0.9,0.9,,,,,0.15137884778117308,0.15137884778117308
Gukesh D,"Martirosyan, Haik M.",48th La Roda Open 2022,2022.04.15,0.16058823529411764,0.16058823529411764,0.189,0.12000000000000001,,,0.35294117647058826,0.35294117647058826,0.5714285714285714,,,,0.35294117647058826,0.35294117647058826,0.5714285714285714,,,,0.14830165998039663,0.14830165998039663
Praggnanandhaa R,Gukesh D,48th La Roda Open 2022,2022.04.16,0.3636666666666667,0.3636666666666667,0.293,0.4459999999999999,0.35200000000000004,,0.26666666666666666,0.26666666666666666,0.3,0.2,,,0.26666666666666666,0.26666666666666666,0.3,0.2,,,0.4268205092617232,0.4268205092617232
Gukesh D,"Renteria, J",48th La Roda Open 2022,2022.04.16,0.2733333333333333,0.2733333333333333,0.31900000000000006,0.21625,,,0.3333333333333333,0.3333333333333333,0.5,,,,0.5555555555555556,0.5555555555555556,0.5,,,,0.4405611395108047,0.4405611395108047
"Gavarrete, Nahun",Gukesh D,48th La Roda Open 2022,2022.04.17,0.09444444444444448,0.09444444444444448,0.09444444444444448,,,,0.2222222222222222,0.2222222222222222,,,,,0.5555555555555556,0.5555555555555556,,,,,0.08833333333333332,0.08833333333333332
Gukesh D,"Mikhalevski, Victor",48th La Roda Open 2022,2022.04.17,0.026875000000000038,0.026875000000000038,0.04300000000000006,-0.0,,,0.6875,0.6875,1.0,,,,0.75,0.75,1.0,,,,0.11711639509479443,0.11711639509479443
"Abdusattorov, Nodirbek",Gukesh D,55th Biel GM 2022,2022.07.14,0.15378378378378374,0.15378378378378374,0.158,0.018,0.3929999999999999,,0.7837837837837838,0.7837837837837838,0.9,0.8,1.0,,0.8108108108108109,0.8108108108108109,0.9,0.9,1.0,,0.7620562510272648,0.7620562510272648
Gukesh D,"Naiditsch, Arkadij",55th Biel GM 2022,2022.07.15,-0.005555555555555554,-0.005555555555555554,-0.005555555555555554,,,,1.0,1.0,,,,,1.0,1.0,,,,,0.02068278940998476,0.02068278940998476
"Le, Quang Liem",Gukesh D,55th Biel GM 2022,2022.07.16,0.1979487179487179,0.1979487179487179,0.10299999999999998,0.349,0.31999999999999995,,0.6153846153846154,0.6153846153846154,0.2,0.7,1.0,,0.6666666666666666,0.6666666666666666,0.4,0.7,1.0,,0.41308326857260735,0.41308326857260735
Gukesh D,"Esipenko, Andrey",55th Biel GM 2022,2022.07.19,0.3976470588235294,0.3976470588235294,0.137,0.21400000000000005,0.974,,0.38235294117647056,0.38235294117647056,0.4,0.2,0.75,,0.47058823529411764,0.47058823529411764,0.5,0.2,0.75,,0.8062372717286276,0.8062372717286276
