white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
"Keymer, Vincent","Dubov, Daniil",FIDE Grand Prix 1 Pool C,2022.02.04,0.07386666666666666,0.13849999999999998,0.134,0.297,0.09400000000000003,0.0,0.7066666666666667,0.45,0.4,0.4,0.7,1.0,0.8266666666666667,0.675,0.6,0.6,1.0,1.0,0.25483377376684646,0.33769619178888877
"Keymer, Vincent","Vidit, Santosh Gujrathi",FIDE Grand Prix 1 Pool C,2022.02.05,0.020357142857142862,0.020357142857142862,0.004000000000000001,0.029000000000000005,0.030000000000000013,,0.7142857142857143,0.7142857142857143,0.7,0.625,,,0.9285714285714286,0.9285714285714286,1.0,0.75,,,0.06500610471943118,0.06500610471943118
"Aronian, Levon","Keymer, Vincent",FIDE Grand Prix 1 Pool C,2022.02.06,0.19838709677419356,0.19838709677419356,0.229,0.29300000000000004,0.09299999999999997,,0.5161290322580645,0.5161290322580645,0.6,0.7,1.0,,0.5161290322580645,0.5161290322580645,0.6,0.7,1.0,,0.35765063748667314,0.35765063748667314
"Dubov, Daniil","Keymer, Vincent",FIDE Grand Prix 1 Pool C,2022.02.07,0.2976190476190476,0.2976190476190476,0.051000000000000004,0.5740000000000001,0.0,,0.47619047619047616,0.47619047619047616,0.6,1.0,,,0.7142857142857143,0.7142857142857143,0.6,1.0,,,0.7590777612465324,0.7590777612465324
"Keymer, Vincent","Aronian, Levon",FIDE Grand Prix 1 Pool C,2022.02.09,0.37079999999999996,0.37079999999999996,0.178,0.615,0.26799999999999996,,0.48,0.48,0.6,0.6,,,0.52,0.52,0.6,0.6,,,0.9088588082498475,0.9088588082498475
"Vidit, Santosh Gujrathi","Keymer, Vincent",FIDE Grand Prix 1 Pool C,2022.02.10,0.08838709677419354,0.1165,0.06599999999999999,0.24200000000000008,0.038,0.03727272727272728,0.5806451612903226,0.475,0.4,0.7,0.3,0.7727272727272727,0.7258064516129032,0.675,0.5,0.8,0.6,0.8181818181818182,0.2313339332723074,0.2742593756432132
"Keymer, Vincent","Nguyen, Thai Dai Van",Bundesliga 2021-22,2022.03.05,0.06818181818181818,0.06818181818181818,0.12100000000000002,0.028999999999999998,-0.0,,0.7272727272727273,0.7272727272727273,0.8,1.0,,,0.8181818181818182,0.8181818181818182,0.9,1.0,,,0.17382630530384177,0.17382630530384177
"McShane, Luke J","Keymer, Vincent",Bundesliga 2021-22,2022.03.06,0.11882352941176468,0.11882352941176468,0.20199999999999996,0.0,,,0.8235294117647058,0.8235294117647058,1.0,,,,0.8823529411764706,0.8823529411764706,1.0,,,,0.42811917664566806,0.42811917664566806
"Keymer, Vincent","Mamedyarov, Shakhriyar",FIDE Grand Prix 3 Pool B,2022.03.22,0.012,0.012,0.018,0.015,0.007999999999999998,,0.8285714285714286,0.8285714285714286,0.8,0.8,1.0,,0.9428571428571428,0.9428571428571428,0.9,1.0,1.0,,0.054221766846903836,0.054221766846903836
"Dominguez Perez, Leinier","Keymer, Vincent",FIDE Grand Prix 3 Pool B,2022.03.23,0.09362318840579711,0.15550000000000003,0.048,0.22400000000000003,0.101,0.008275862068965521,0.6376811594202898,0.5,0.2,0.5,0.5,0.8275862068965517,0.7681159420289855,0.625,0.4,0.7,0.5,0.9655172413793104,0.2618709325922665,0.32868775612371237
