white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
"Bacrot, Etienne","Nakamura, Hikaru",FIDE Grand Prix 1 Pool A,2022.02.04,0.075,0.075,0.1,0.05,,,0.45,0.45,0.5,,,,0.7,0.7,0.8,,,,0.07850578255604386,0.07850578255604386
"Nakamura, Hikaru","Esipenko, Andrey",FIDE Grand Prix 1 Pool A,2022.02.05,0.05055555555555553,0.05055555555555553,0.12500000000000006,-0.12199999999999993,0.17899999999999977,,0.6944444444444444,0.6944444444444444,0.9,0.5,1.0,,0.7777777777777778,0.7777777777777778,1.0,0.6,1.0,,0.29047689305145324,0.29047689305145324
"Grischuk, Alexander","Nakamura, Hikaru",FIDE Grand Prix 1 Pool A,2022.02.06,0.04619047619047619,0.04619047619047619,0.046000000000000006,0.051000000000000004,0.0,,0.7142857142857143,0.7142857142857143,0.7,1.0,,,0.7619047619047619,0.7619047619047619,0.7,1.0,,,0.07857965324918344,0.07857965324918344
"Nakamura, Hikaru","Bacrot, Etienne",FIDE Grand Prix 1 Pool A,2022.02.07,0.142,0.142,0.213,-0.0,,,0.5333333333333333,0.5333333333333333,1.0,,,,0.7333333333333333,0.7333333333333333,1.0,,,,0.3012402932638898,0.3012402932638898
"Nakamura, Hikaru","Grischuk, Alexander",FIDE Grand Prix 1 Pool A,2022.02.09,0.08750000000000004,0.08750000000000004,0.07699999999999999,0.18000000000000002,0.023,,0.5,0.5,0.3,0.6,1.0,,0.53125,0.53125,0.3,0.7,1.0,,0.3380971419863748,0.3380971419863748
"Esipenko, Andrey","Nakamura, Hikaru",FIDE Grand Prix 1 Pool A,2022.02.10,0.3489361702127659,0.40474999999999994,0.313,0.514,0.7709999999999999,0.03,0.48936170212765956,0.425,0.3,0.5,0.7,0.8571428571428571,0.5957446808510638,0.55,0.5,0.5,0.9,0.8571428571428571,0.7753883572332254,0.8289504872164623
"Nakamura, Hikaru","Rapport, Richard",FIDE Grand Prix 1 playoff,2022.02.12,0.0421311475409836,0.06424999999999999,0.09300000000000001,0.196,-0.03200000000000003,0.0,0.7540983606557377,0.625,0.4,0.7,1.0,1.0,0.819672131147541,0.725,0.5,0.8,1.0,1.0,0.1693725160122736,0.20658254077691596
"Rapport, Richard","Nakamura, Hikaru",FIDE Grand Prix 1 playoff,2022.02.13,0.011,0.011,-0.007000000000000006,0.02900000000000001,,,0.75,0.75,0.8,,,,0.8,0.8,0.8,,,,0.11529824027506368,0.11529824027506368
"Nakamura, Hikaru","Aronian, Levon",FIDE Grand Prix 1 playoff,2022.02.15,0.15181818181818182,0.16699999999999998,0.32300000000000006,0.22200000000000006,0.11800000000000002,-0.0,0.5909090909090909,0.55,0.3,0.8,1.0,1.0,0.6136363636363636,0.575,0.4,0.8,1.0,1.0,0.25920516007705335,0.2673536024031633
"Aronian, Levon","Nakamura, Hikaru",FIDE Grand Prix 1 playoff,2022.02.16,0.10842105263157895,0.10842105263157895,0.194,0.013333333333333332,,,0.47368421052631576,0.47368421052631576,0.8888888888888888,,,,0.5263157894736842,0.5263157894736842,0.8888888888888888,,,,0.1442321877273176,0.1442321877273176
"Aronian, Levon","Nakamura, Hikaru",FIDE Grand Prix 1 playoff,2022.02.17,0.16874999999999998,0.16874999999999998,0.301,0.22800000000000004,0.131,,0.425,0.425,0.2,0.5,0.9,,0.5,0.5,0.4,0.5,1.0,,0.25785294457430774,0.25785294457430774
"Nakamura, Hikaru","Aronian, Levon",FIDE Grand Prix 1 playoff,2022.02.17,0.2245098039215686,0.15775,0.10899999999999999,0.10799999999999996,0.326,0.46727272727272723,0.5686274509803921,0.5,0.2,0.5,0.9,0.8181818181818182,0.7058823529411765,0.675,0.5,0.5,0.9,0.8181818181818182,0.6182080999970485,0.3377412717845817
"Aronian, Levon","Nakamura, Hikaru",FIDE Grand Prix 3 Pool A,2022.03.22,0.15703703703703706,0.21200000000000002,0.12600000000000003,0.6810000000000002,0.041000000000000016,0.0,0.7777777777777778,0.7,0.4,0.8,1.0,1.0,0.8333333333333334,0.775,0.5,0.8,1.0,1.0,0.5357929395522808,0.614959660965973
"Nakamura, Hikaru","Esipenko, Andrey",FIDE Grand Prix 3 Pool A,2022.03.23,0.1687037037037037,0.2125,0.255,0.302,0.19,0.04357142857142857,0.46296296296296297,0.375,0.3,0.4,0.5,0.7142857142857143,0.5555555555555556,0.45,0.3,0.5,0.6,0.8571428571428571,0.2605005797718989,0.279695347082298
"Oparin, Grigoriy","Nakamura, Hikaru",FIDE Grand Prix 3 Pool A,2022.03.24,0.17545454545454547,0.17545454545454547,0.388,-0.0020000000000000074,0.0,,0.5909090909090909,0.5909090909090909,0.7,1.0,,,0.6818181818181818,0.6818181818181818,0.7,1.0,,,0.6098612431780986,0.6098612431780986
"Nakamura, Hikaru","Aronian, Levon",FIDE Grand Prix 3 Pool A,2022.03.25,0.05499999999999999,0.05499999999999999,0.049,0.019000000000000006,0.15199999999999997,,0.775,0.775,0.7,0.7,1.0,,0.825,0.825,0.7,0.8,1.0,,0.25231238269561496,0.25231238269561496
"Nakamura, Hikaru","Oparin, Grigoriy",FIDE Grand Prix 3 Pool A,2022.03.27,0.09255319148936171,0.10875000000000001,0.07300000000000001,0.1,0.10700000000000001,-0.0,0.6382978723404256,0.575,0.8,0.5,0.5,1.0,0.7446808510638298,0.7,0.9,0.7,0.6,1.0,0.2365464205302628,0.25335884655603624
"Esipenko, Andrey","Nakamura, Hikaru",FIDE Grand Prix 3 Pool A,2022.03.28,0.19285714285714287,0.19285714285714287,0.096,0.20800000000000002,0.295,,0.6428571428571429,0.6428571428571429,0.6,0.875,,,0.6785714285714286,0.6785714285714286,0.7,0.875,,,0.5756082589095363,0.5756082589095363
"Mamedyarov, Shakhriyar","Nakamura, Hikaru",FIDE Grand Prix 3 playoff,2022.04.01,0.05416666666666666,0.05416666666666666,0.138,0.019,-0.0675,,0.625,0.625,0.8,0.75,,,0.6666666666666666,0.6666666666666666,0.9,0.75,,,0.19037529677767648,0.19037529677767648
"Nakamura, Hikaru","Mamedyarov, Shakhriyar",FIDE Grand Prix 3 playoff,2022.04.01,0.2651612903225807,0.2651612903225807,0.24100000000000002,0.31599999999999995,0.26499999999999996,,0.41935483870967744,0.41935483870967744,0.5,0.4,1.0,,0.41935483870967744,0.41935483870967744,0.5,0.4,1.0,,0.4077079916455072,0.4077079916455072
"Mamedyarov, Shakhriyar","Nakamura, Hikaru",FIDE Grand Prix 3 playoff,2022.04.01,0.10500000000000001,0.10500000000000001,0.22199999999999998,0.186,0.012,,0.7,0.7,0.5,0.9,1.0,,0.8,0.8,0.7,1.0,1.0,,0.26438123212027725,0.26438123212027725
