white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
"Niemann, Hans Moke","Adams, Michael",27th Sigeman & Co 2022,2022.05.03,0.13153846153846155,0.13153846153846155,0.14899999999999997,0.121,0.24300000000000002,,0.48717948717948717,0.48717948717948717,0.4,0.3,1.0,,0.5897435897435898,0.5897435897435898,0.5,0.4,1.0,,0.1869074983928296,0.1869074983928296
"Navara, David","Niemann, Hans Moke",27th Sigeman & Co 2022,2022.05.04,0.23066666666666666,0.23066666666666666,0.346,0.32599999999999996,0.019999999999999997,,0.6333333333333333,0.6333333333333333,0.6,0.8,,,0.6333333333333333,0.6333333333333333,0.6,0.8,,,0.5143119497048414,0.5143119497048414
"Niemann, Hans Moke",Erigaisi Arjun,27th Sigeman & Co 2022,2022.05.05,0.1443103448275862,0.16000000000000003,0.193,0.137,0.22300000000000003,0.10944444444444446,0.5689655172413793,0.4,0.3,0.3,0.6,0.9444444444444444,0.6896551724137931,0.575,0.5,0.5,0.8,0.9444444444444444,0.40553673365953846,0.3815353597888809
"Salem, A.R. Saleh","Niemann, Hans Moke",27th Sigeman & Co 2022,2022.05.06,0.05545454545454546,0.05545454545454546,0.05400000000000003,0.11700000000000002,0.011999999999999988,,0.6363636363636364,0.6363636363636364,0.6,0.7,1.0,,0.696969696969697,0.696969696969697,0.7,0.7,1.0,,0.31171993548988525,0.31171993548988525
"Niemann, Hans Moke","Shirov, Alexei",27th Sigeman & Co 2022,2022.05.07,0.11040816326530613,0.1125,0.094,0.23400000000000007,0.060999999999999985,0.10111111111111112,0.5714285714285714,0.525,0.4,0.5,0.8,0.7777777777777778,0.6938775510204082,0.675,0.4,0.8,0.8,0.7777777777777778,0.2552772935430009,0.26136476132320985
"Niemann, Hans Moke","Grandelius, Nils",27th Sigeman & Co 2022,2022.05.08,0.01964285714285714,0.01964285714285714,0.047,0.008000000000000002,-0.0,,0.7857142857142857,0.7857142857142857,0.9,1.0,,,0.8928571428571429,0.8928571428571429,1.0,1.0,,,0.04999867723118007,0.04999867723118007
"Van Foreest, Jorden","Niemann, Hans Moke",27th Sigeman & Co 2022,2022.05.09,0.018800000000000004,0.018750000000000006,0.05600000000000001,0.0,0.011000000000000001,0.019,0.84,0.825,1.0,0.9,0.9,0.9,0.88,0.875,1.0,0.9,1.0,0.9,0.06485903080952583,0.06854485710757181
"Niemann, Hans Moke","Abdusattorov, Nodirbek",4th Prague Challengers,2022.06.08,0.1723076923076923,0.1723076923076923,0.20299999999999999,0.05800000000000002,0.40300000000000014,,0.46153846153846156,0.46153846153846156,0.4,0.3,0.8888888888888888,,0.5641025641025641,0.5641025641025641,0.6,0.4,0.8888888888888888,,0.41986502554524985,0.41986502554524985
"Stocek, J","Niemann, Hans Moke",4th Prague Challengers,2022.06.09,0.5046666666666667,0.5046666666666667,0.251,1.012,,,0.3333333333333333,0.3333333333333333,0.6,,,,0.4,0.4,0.6,,,,0.9966147462188949,0.9966147462188949
"Niemann, Hans Moke","Warmerdam, Max",4th Prague Challengers,2022.06.10,0.1310526315789474,0.1310526315789474,0.08499999999999999,0.073,0.33999999999999997,,0.5263157894736842,0.5263157894736842,0.4,0.5,1.0,,0.7105263157894737,0.7105263157894737,0.6,0.6,1.0,,0.44360190013535605,0.44360190013535605
"Keymer, Vincent","Niemann, Hans Moke",4th Prague Challengers,2022.06.11,0.1193877551020408,0.14625,0.187,0.06600000000000003,0.33199999999999996,0.0,0.6530612244897959,0.575,0.4,0.6,1.0,1.0,0.7551020408163265,0.7,0.6,0.6,1.0,1.0,0.3576159961191224,0.39162833964137017
"Niemann, Hans Moke","Sasikiran, Krishnan",4th Prague Challengers,2022.06.13,0.2946153846153846,0.2946153846153846,0.05699999999999998,0.556,0.255,,0.34615384615384615,0.34615384615384615,0.2,0.6666666666666666,,,0.4230769230769231,0.4230769230769231,0.2,0.6666666666666666,,,0.691307345653036,0.691307345653036
"Pechac, Jergus","Niemann, Hans Moke",4th Prague Challengers,2022.06.14,0.025999999999999995,0.025999999999999995,0.04199999999999998,0.010000000000000004,,,0.7,0.7,0.8,,,,0.9,0.9,0.9,,,,0.11198684133226967,0.11198684133226967
"Niemann, Hans Moke","Hracek, Zbynek",4th Prague Challengers,2022.06.15,0.09625,0.09625,0.22699999999999992,0.004000000000000092,-0.0,,0.75,0.75,0.9,1.0,,,0.75,0.75,0.9,1.0,,,0.2647527558669227,0.2647527558669227
"Niemann, Hans Moke","Michalik, Peter",4th Prague Challengers,2022.06.16,0.4935087719298245,0.2045,0.154,0.294,0.37700000000000006,1.1735294117647057,0.3684210526315789,0.275,0.2,0.1,0.7,0.5882352941176471,0.42105263157894735,0.35,0.2,0.3,0.8,0.5882352941176471,1.3856296805167037,0.33667263259502034
"Krzyzanowski, M","Niemann, Hans Moke",4th Prague Challengers,2022.06.17,0.11558823529411767,0.21075,0.06900000000000002,0.18200000000000002,0.15799999999999997,-0.020357142857142827,0.6029411764705882,0.375,0.1,0.4,0.3,0.9285714285714286,0.7205882352941176,0.55,0.2,0.7,0.5,0.9642857142857143,0.4020744059489827,0.4889622055553357
"Niemann, Hans Moke","Quesada Perez, Luis Ernesto",55th Capablanca Mem Elite,2022.04.19,0.30622222222222223,0.6890000000000001,0.14900000000000002,1.6929999999999996,0.897,0.0,0.7444444444444445,0.425,0.0,0.5,0.8,1.0,0.8111111111111111,0.575,0.2,0.7,1.0,1.0,1.1201570694214191,1.6102520904727293
"Ortiz Suarez, Isan Reynaldo","Niemann, Hans Moke",55th Capablanca Mem Elite,2022.04.20,0.11750000000000001,0.11750000000000001,0.191,0.08900000000000001,0.004999999999999963,,0.375,0.375,0.4,0.5,,,0.5,0.5,0.5,0.5,,,0.17676439735962968,0.17676439735962968
"Niemann, Hans Moke","Mareco, Sandro",55th Capablanca Mem Elite,2022.04.21,0.13937500000000003,0.13937500000000003,0.248,-0.04166666666666663,,,0.5625,0.5625,0.6666666666666666,,,,0.625,0.625,0.6666666666666666,,,,0.4581770945824332,0.4581770945824332
"Durarbayli, Vasif","Niemann, Hans Moke",55th Capablanca Mem Elite,2022.04.22,0.14058823529411765,0.14058823529411765,0.14200000000000002,0.13857142857142857,,,0.35294117647058826,0.35294117647058826,0.2857142857142857,,,,0.4117647058823529,0.4117647058823529,0.42857142857142855,,,,0.14019943777683697,0.14019943777683697
"Niemann, Hans Moke","Ganguly, Surya Shekhar",55th Capablanca Mem Elite,2022.04.23,0.239875,0.12525,0.14200000000000004,0.06200000000000001,0.05399999999999999,0.3545,0.7,0.5,0.7,0.4,0.4,0.9,0.75,0.6,0.8,0.6,0.4,0.9,0.8754333375426212,0.23516483580671665
"Quesada Perez, Yasser","Niemann, Hans Moke",55th Capablanca Mem Elite,2022.04.25,0.13697674418604652,0.14725000000000002,0.345,0.172,0.11000000000000001,0.0,0.5348837209302325,0.5,0.4,0.4,1.0,1.0,0.627906976744186,0.6,0.4,0.5,1.0,1.0,0.3195497940460323,0.32926481821297043
"Niemann, Hans Moke","Albornoz Cabrera, Carlos Daniel",55th Capablanca Mem Elite,2022.04.26,0.09866666666666665,0.11099999999999999,0.189,0.244,0.06799999999999995,-0.0,0.6,0.55,0.2,0.6,1.0,1.0,0.6888888888888889,0.65,0.3,0.7,1.0,1.0,0.28003733517320345,0.29507756477029773
"Almeida Quintana, Omar","Niemann, Hans Moke",55th Capablanca Mem Elite,2022.04.27,0.11999999999999998,0.11999999999999998,0.11799999999999997,0.12285714285714285,,,0.35294117647058826,0.35294117647058826,0.2857142857142857,,,,0.47058823529411764,0.47058823529411764,0.5714285714285714,,,,0.17251811499086117,0.17251811499086117
"Niemann, Hans Moke","Yilmaz, M",55th Capablanca Mem Elite,2022.04.28,0.05965517241379312,0.05965517241379312,0.20700000000000002,-0.03399999999999999,-0.0,,0.7241379310344828,0.7241379310344828,0.9,1.0,,,0.7241379310344828,0.7241379310344828,0.9,1.0,,,0.19072198836864782,0.19072198836864782
"Van Foreest, Lucas","Niemann, Hans Moke",5th Sharjah Masters 2022,2022.05.21,0.28761904761904766,0.28761904761904766,0.13799999999999998,0.466,0.0,,0.42857142857142855,0.42857142857142855,0.4,1.0,,,0.47619047619047616,0.47619047619047616,0.5,1.0,,,0.5387847878504436,0.5387847878504436
"Niemann, Hans Moke","Mammadzada, G",5th Sharjah Masters 2022,2022.05.22,0.16564102564102567,0.16564102564102567,0.215,0.192,0.23899999999999996,,0.6410256410256411,0.6410256410256411,0.5,0.7,1.0,,0.6410256410256411,0.6410256410256411,0.5,0.7,1.0,,0.4443315196170942,0.4443315196170942
"Vokhidov, Shamsiddin","Niemann, Hans Moke",5th Sharjah Masters 2022,2022.05.23,0.025769230769230773,0.025769230769230773,0.014000000000000002,0.054000000000000006,-0.001666666666666668,,0.8076923076923077,0.8076923076923077,0.7,1.0,,,0.8461538461538461,0.8461538461538461,0.7,1.0,,,0.1622386655991247,0.1622386655991247
"Niemann, Hans Moke","Moroni, L",5th Sharjah Masters 2022,2022.05.24,0.23468085106382974,0.27574999999999994,0.171,0.21099999999999994,0.5479999999999999,-0.0,0.3829787234042553,0.275,0.2,0.0,0.8,1.0,0.44680851063829785,0.35,0.2,0.1,0.8,1.0,0.4591336409777887,0.48685219944307956
"Ganguly, Surya Shekhar","Niemann, Hans Moke",5th Sharjah Masters 2022,2022.05.25,0.502,0.502,0.769,0.40499999999999997,0.33699999999999986,,0.22857142857142856,0.22857142857142856,0.5,0.2,0.2,,0.34285714285714286,0.34285714285714286,0.5,0.3,0.2,,0.9463670473105529,0.9463670473105529
"Niemann, Hans Moke","Muradli, Mahammad",5th Sharjah Masters 2022,2022.05.26,0.26142857142857134,0.26142857142857134,0.16299999999999998,0.37699999999999995,0.08999999999999986,,0.3333333333333333,0.3333333333333333,0.4,0.0,,,0.5714285714285714,0.5714285714285714,0.7,1.0,,,0.7443607036530456,0.7443607036530456
"Deac, Bogdan-Daniel","Niemann, Hans Moke",5th Sharjah Masters 2022,2022.05.27,0.1376190476190476,0.1376190476190476,0.08099999999999999,0.20500000000000002,0.03,,0.6190476190476191,0.6190476190476191,0.6,1.0,,,0.6666666666666666,0.6666666666666666,0.6,1.0,,,0.28563796599725255,0.28563796599725255
"Niemann, Hans Moke","Salem, A.R. Saleh",5th Sharjah Masters 2022,2022.05.28,0.16268292682926833,0.16675,0.037000000000000005,0.20400000000000001,0.426,-0.0,0.7073170731707317,0.7,0.5,0.7,1.0,1.0,0.7560975609756098,0.75,0.6,0.7,1.0,1.0,0.4456681747121052,0.45057449083905304
"Ponkratov, Pavel","Niemann, Hans Moke",5th Sharjah Masters 2022,2022.05.29,0.2215909090909091,0.24375,0.077,0.20700000000000002,0.20500000000000002,0.0,0.4772727272727273,0.425,0.4,0.4,0.6,1.0,0.5227272727272727,0.475,0.5,0.4,0.6,1.0,0.5943452257377809,0.6196263866027326
"Niemann, Hans Moke","Aronian, Levon",9th Sinquefield Cup 2022,2022.09.02,0.11200000000000002,0.11200000000000002,0.154,0.08899999999999998,0.10999999999999996,,0.35,0.35,0.4,0.5,0.3,,0.525,0.525,0.5,0.6,0.7,,0.145834468860048,0.145834468860048
"Niemann, Hans Moke","Mamedyarov, Shakhriyar",9th Sinquefield Cup 2022,2022.09.03,0.08692307692307691,0.08692307692307691,0.2819999999999999,0.12800000000000006,-0.07100000000000004,,0.6666666666666666,0.6666666666666666,0.3,1.0,1.0,,0.7692307692307693,0.7692307692307693,0.6,1.0,1.0,,0.24795111833791006,0.24795111833791006
"Carlsen, Magnus","Niemann, Hans Moke",9th Sinquefield Cup 2022,2022.09.04,0.12152173913043478,0.13974999999999999,0.017999999999999995,0.09399999999999997,0.3690000000000001,0.0,0.6521739130434783,0.6,0.6,0.3,0.8,1.0,0.717391304347826,0.675,0.6,0.3,0.9,1.0,0.37243921139371855,0.3967850771335755
"Niemann, Hans Moke","Firouzja, Alireza",9th Sinquefield Cup 2022,2022.09.05,0.16212121212121214,0.16212121212121214,0.128,0.25,0.157,,0.48484848484848486,0.48484848484848486,0.5,0.5,1.0,,0.5757575757575758,0.5757575757575758,0.6,0.5,1.0,,0.297623478321998,0.297623478321998
"Dominguez Perez, Leinier","Niemann, Hans Moke",9th Sinquefield Cup 2022,2022.09.06,0.19810810810810817,0.19810810810810817,0.28500000000000003,0.11500000000000007,0.33200000000000013,,0.4864864864864865,0.4864864864864865,0.7,0.3,1.0,,0.5405405405405406,0.5405405405405406,0.7,0.4,1.0,,0.3417100609665536,0.3417100609665536
"Niemann, Hans Moke","So, Wesley",9th Sinquefield Cup 2022,2022.09.08,0.20857142857142857,0.2555,0.16499999999999998,0.062,0.21200000000000002,-0.0,0.5714285714285714,0.475,0.8,0.3,0.5,1.0,0.6122448979591837,0.525,0.9,0.4,0.5,1.0,0.46360004314063646,0.5022204541985369
"Vachier-Lagrave, Maxime","Niemann, Hans Moke",9th Sinquefield Cup 2022,2022.09.09,0.03886363636363637,0.04275,0.12700000000000003,0.024999999999999994,0.022000000000000002,0.0,0.7727272727272727,0.75,0.8,0.7,1.0,1.0,0.8636363636363636,0.85,0.9,1.0,1.0,1.0,0.08811239938853234,0.09159519358121082
"Niemann, Hans Moke","Caruana, Fabiano",9th Sinquefield Cup 2022,2022.09.10,0.29898305084745763,0.21900000000000003,0.11600000000000002,0.352,-0.01599999999999998,0.4673684210526316,0.4745762711864407,0.55,0.3,0.7,0.5,0.3157894736842105,0.5254237288135594,0.625,0.4,0.8,0.5,0.3157894736842105,0.5653491289803212,0.5819322367811636
"Nepomniachtchi, Ian","Niemann, Hans Moke",9th Sinquefield Cup 2022,2022.09.11,0.20590909090909087,0.22325,0.10200000000000001,0.296,0.378,0.0325,0.45454545454545453,0.425,0.3,0.2,0.7,0.75,0.5681818181818182,0.525,0.3,0.3,0.8,1.0,0.34954667108166054,0.36218983193758264
"Fridman, D","Niemann, Hans Moke",Bundesliga 2021-22,2022.05.14,0.07357142857142858,0.07675000000000001,0.15599999999999997,0.044,-0.009999999999999998,0.010000000000000009,0.7142857142857143,0.7,0.7,1.0,0.6,1.0,0.7619047619047619,0.75,0.8,1.0,0.6,1.0,0.18223305138591517,0.18625027964184823
"Niemann, Hans Moke","Areshchenko, Alexander",Bundesliga 2021-22,2022.05.15,0.09333333333333332,0.09333333333333332,0.10200000000000001,0.20600000000000002,-0.0,,0.7272727272727273,0.7272727272727273,0.8,1.0,1.0,,0.7575757575757576,0.7575757575757576,0.8,1.0,1.0,,0.37880293909454654,0.37880293909454654
"Keymer, Vincent","Niemann, Hans Moke",Bundesliga 2021-22,2022.07.07,0.08333333333333333,0.087,0.067,0.17099999999999999,0.05499999999999998,0.07,0.6862745098039216,0.65,0.6,0.8,0.7,0.8181818181818182,0.8235294117647058,0.8,0.7,0.9,0.8,0.9090909090909091,0.21752854218852907,0.21722256104198986
"Niemann, Hans Moke","Caruana, Fabiano",Bundesliga 2021-22,2022.07.08,0.14656716417910445,0.13725,0.096,0.2699999999999999,0.23200000000000004,0.16037037037037033,0.7164179104477612,0.575,0.1,0.7,1.0,0.9259259259259259,0.746268656716418,0.625,0.2,0.7,1.0,0.9259259259259259,0.5362455120637402,0.33743365919684765
"Grandelius, Nils","Niemann, Hans Moke",Bundesliga 2021-22,2022.07.09,0.09020833333333333,0.098,-0.004999999999999988,0.10200000000000002,0.183,0.05125000000000001,0.5833333333333334,0.575,0.5,0.7,0.3,0.625,0.6875,0.65,0.6,0.7,0.5,0.875,0.23826937717484975,0.25780334385450493
"Jones, G","Niemann, Hans Moke",Bundesliga 2021-22,2022.07.09,0.09041666666666666,0.09041666666666666,0.07099999999999998,0.14599999999999996,0.0,,0.625,0.625,0.6,1.0,,,0.625,0.625,0.6,1.0,,,0.27688451786238255,0.27688451786238255
"Niemann, Hans Moke","Huschenbeth, Niclas",Bundesliga 2021-22,2022.07.10,0.14,0.1085,0.155,0.049,0.018000000000000002,0.179375,0.75,0.6,0.6,0.7,0.8,0.9375,0.8472222222222222,0.775,0.8,0.9,0.9,0.9375,0.6432575547089525,0.3456658383393878
