white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
Nihal Sarin,"Macon, Arthur",38th Cappelle Open 2022,2022.02.12,0.3769565217391305,0.3769565217391305,0.08700000000000001,0.507,0.91,,0.30434782608695654,0.30434782608695654,0.4,0.0,,,0.43478260869565216,0.43478260869565216,0.5,0.3333333333333333,,,0.5701150982884444,0.5701150982884444
"Muetsch, Annmarie",Nihal Sarin,38th Cappelle Open 2022,2022.02.14,0.09861111111111111,0.09861111111111111,0.158,0.16099999999999998,0.03599999999999999,,0.5555555555555556,0.5555555555555556,0.3,0.7,1.0,,0.6666666666666666,0.6666666666666666,0.5,0.8,1.0,,0.15802626866221195,0.15802626866221195
Nihal Sarin,"Nguyen, P",38th Cappelle Open 2022,2022.02.15,0.18642857142857144,0.19575,0.31099999999999994,0.178,0.294,-0.0,0.5238095238095238,0.5,0.5,0.5,1.0,1.0,0.6190476190476191,0.6,0.6,0.6,1.0,1.0,0.45149519311689834,0.4609014995719718
Nihal Sarin,"Vlachos, Anatole",38th Cappelle Open 2022,2022.02.16,0.07045454545454549,0.07045454545454549,0.03900000000000013,0.11599999999999995,-0.0,,0.7727272727272727,0.7727272727272727,0.8,1.0,,,0.7727272727272727,0.7727272727272727,0.8,1.0,,,0.23428670414741787,0.23428670414741787
"Dardha, Daniel",Nihal Sarin,38th Cappelle Open 2022,2022.02.16,0.28833333333333333,0.28833333333333333,0.749,0.11599999999999996,0.0,,0.5666666666666667,0.5666666666666667,0.3,1.0,,,0.6333333333333333,0.6333333333333333,0.4,1.0,,,0.8549010159816381,0.8549010159816381
"Bakhmatsky, Vladislav",Nihal Sarin,38th Cappelle Open 2022,2022.02.17,0.141,0.141,0.141,,,,0.4,0.4,,,,,0.5,0.5,,,,,0.1678921611564333,0.1678921611564333
Nihal Sarin,"Petrov, Martin",38th Cappelle Open 2022,2022.02.18,0.674,0.674,0.674,,,,0.1,0.1,,,,,0.3,0.3,,,,,0.9183705376613757,0.9183705376613757
Nihal Sarin,"Crevatin, Leo",35th Cannes Open 2022,2022.02.21,0.2372,0.2372,0.2899999999999999,0.303,-0.0,,0.4,0.4,0.4,1.0,,,0.52,0.52,0.6,1.0,,,0.5180292784518393,0.5180292784518393
Nihal Sarin,"Mathieu, Phileas",35th Cannes Open 2022,2022.02.22,0.10208333333333335,0.1165,0.158,0.078,0.145,0.03,0.5416666666666666,0.475,0.6,0.4,0.6,0.875,0.6875,0.65,0.8,0.5,0.7,0.875,0.17345007661576334,0.18353438858936433
"Girel, Joseph",Nihal Sarin,35th Cannes Open 2022,2022.02.22,0.0028571428571428576,0.0028571428571428576,0.004000000000000001,0.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,0.010690449676496974,0.010690449676496974
Nihal Sarin,"Navrotescu, Andreea-Cristiana",35th Cannes Open 2022,2022.02.23,0.048888888888888885,0.048888888888888885,0.088,-0.0,,,0.8333333333333334,0.8333333333333334,1.0,,,,0.8888888888888888,0.8888888888888888,1.0,,,,0.1442990721460891,0.1442990721460891
"Krzyzanowski, M",Nihal Sarin,35th Cannes Open 2022,2022.02.24,0.13857142857142857,0.13857142857142857,0.13857142857142857,,,,0.5714285714285714,0.5714285714285714,,,,,0.7142857142857143,0.7142857142857143,,,,,0.22564194139008314,0.22564194139008314
"Barseghyan, Harutyun",Nihal Sarin,35th Cannes Open 2022,2022.02.24,0.1211111111111111,0.16349999999999998,0.183,0.458,-0.0010000000000000009,0.0,0.7037037037037037,0.6,0.3,0.9,0.9,1.0,0.7777777777777778,0.7,0.6,0.9,0.9,1.0,0.5671832643387072,0.6557968337675067
Nihal Sarin,"Godena, Michele",35th Cannes Open 2022,2022.02.25,0.11750000000000001,0.11750000000000001,0.14900000000000002,0.24299999999999997,0.031000000000000007,,0.5277777777777778,0.5277777777777778,0.4,0.7,1.0,,0.6111111111111112,0.6111111111111112,0.4,0.8,1.0,,0.18532404053441096,0.18532404053441096
